start	end	text
0	13000	Hello, hello, Paweł Malik, Portal Analiz. It is a pleasure for me to welcome today the representatives of the company Sanex,
13000	18000	i.e. Mr. Romuald Kaliciak and Mr. Marc Kosman. Hello, gentlemen.
18000	33000	Sanex is definitely one of the stars of last year. At the beginning of last year, I will remind you, we had a webinar with the current gentlemen from the office.
33000	40000	At that time, it was a very optimistic attitude, but with some concerns about the costs, in particular the costs of steel.
41000	49000	However, it turned out that this year was phenomenal and probably exceeded your expectations. I think we will hear that for sure.
49000	59000	However, of course, what interests us most is not only history, but also the future, which can be expected in the upcoming 2023.
59000	67000	I think the environment will benefit, as the gentlemen have prepared for it. I give you my voice. I know that there will be a presentation at the beginning.
67000	76000	After the presentation, there will be time to ask questions. You can already enter the questions in the chat, which I will read out at the end of the presentation.
76000	82000	So, once again, Mr. Witam, I give you my voice. Thank you very much.
82000	96000	We have prepared a short presentation here to make it easier to ask questions and show our company what has changed this year, that year, actually.
96000	104000	And show a few directions or proposals for the development of our company in the coming years, in particular this year.
107000	118000	So, one by one, first of all, such basic information about the company for those of you who may not know us yet, but would like to better understand what the company is doing.
118000	124000	Then a short presentation of the financial results for the last year.
124000	138000	Then information about the market, where we sell, to whom we sell, on which markets, to whom we would like to sell and a overview of the most important events that have been happening in our company for the last year.
138000	156000	So, as we have already been presented, we will try today with Mr. Mark, who is our member of the financial detector management and, in my opinion, to present in such a way that everyone will be able to draw from it the information that we intend.
156000	174000	So, let's start with the company. The company has a lot of experience in relation to all products and all technologies that have been used since the very beginning of the renewable energy industry.
174000	186000	We have an experience of 20 years, as it was shown here, although the company started in 1997 as a different subject in this industry.
186000	215000	Here we show our company, as if in such a basement, as it was shown here, that is, we show a large range of our products, we show future directions, such as fruit, we show the results that have grown very nicely for us here in that year, so we would like to focus on this now, in particular.
215000	231000	What are we specializing in here? Our company, from my point of view, is mistakenly, every time it is encrypted into some parts of this large range of renewable energy products.
231000	247000	So at the beginning it was that we were encrypted into solar generators, which were considered products that no longer sell, later there were photovoltaics, which, due to the lack of funding, also stopped selling.
247000	263000	Now there are heat pumps that can play a big role, or not, so we have to see that this is a product that is largely dependent on the level of funding and the price of energy.
263000	275000	We produce a whole range, i.e. here, regardless of which product or which product range would be at the top, so to speak, this is how it is produced here.
275000	303000	So we produce a whole range of heat pumps, a whole range of solar, flat, or vacuum collectors, we produce power systems for photovoltaics, we finish the construction of the hall, we already produce in a very large number of containers, we produce glycol, we produce various chemical products that are used to clean or fill solar installations,
303000	317000	or to install heat pump cleaners. We produce controllers, we produce heat accumulators on the basis of phase cross-section of the solar panel, so here we have the whole range.
317000	343000	Here we show our experience in research and development activities. Every company that wants to play an innovative role or take part in the construction of the energy and wind energy market, from my point of view, should have a very well-developed research and development department.
343000	363000	The development department is the place of the company that decides on the directions that should be examined, it should introduce certain products, certain technological thoughts that could be transferred to the construction or creation of products that would be sold.
363000	376000	And it has given us the need to sell the whole system, not only the individual elements of the system, but also the whole system.
376000	399000	And as a confirmation, our research and development department works quite vigorously. These are donations that we received from companies for innovative solutions, there are quite a few, I think, especially we are proud of this autonomous heating system,
399000	420000	because it is a program that we are doing with the National Development Fund, a research program, and it shows our ability to create new, technologically advanced solutions and later commercialization of these solutions and operations of these clients.
420000	442000	Our company also has a number of different certificates that allow our products, both for heating and solar collectors, first of all, to be allowed to be sold on the Western European market and also allows the participation, funding for final customers of these devices.
442000	458000	This indicates that these devices are highly efficient and economical. Yesterday we managed to extend the ISO 9000 certificate for the entire company.
458000	477000	Now we would like to show you some financial data, because it is certainly very interesting. It's nice that we have a research and development department, that everything is developing, but all of this has to be converted into financial results later.
477000	496000	And indeed, here we have a comparison after three quarters, how much we have managed to improve profitability, i.e. these fears that the growth of the cost of raw materials, in general, the cost of activities last year, we managed to keep all these costs in our pockets.
496000	508000	And if we have an increase in revenues at the level of over 100%, then we have an increase in profitability at the level of 270%.
508000	525000	So you can see that this additional developed margin has been very nicely converted into financial results for our profits. These are, of course, data after three quarters, full financial data annually, because they will be published more in a month.
525000	538000	We also invite you to get acquainted with this. For sure, there will be no negative surprises at the end of the year, this trend will be maintained until the end of the year.
538000	562000	Here you can see nicely on the charts how we have grown in the last year, when it comes to revenues, and here are the annual revenues, because we have already shown them to the public, and net profit after three quarters of the year 2022, we have a significant increase in profits in 2021.
562000	577000	It can be said that we have managed to improve revenues very much this year and at the same time maintain the costs of activities, first of all, the costs of a few raw materials, and the personal costs of raw materials.
578000	587000	Now we will move on to the information about the market, who are we selling to, who would we like to sell to, what does it look like?
587000	600000	Well, if the financial results presented here were excellent, then the product that we have produced should be found by the buyer.
601000	609000	Here we can see that our main market, which is the German market and the Polish market, are different.
609000	615000	However, we would like to change this a little bit.
616000	621000	On this slide we show which are the key countries for us in the discussion.
622000	638000	We see Germany, Austria, Italy, Germany and a few other countries that we will try to satisfy in a greater way, as well as expand the countries that are not yet the appropriate colors on this map.
639000	645000	These are the new countries, such as France, Spain or England, where these products are very popular.
646000	658000	Here we show our two main countries, where we are trying to exist to a greater extent, which are Germany and Austria.
658000	673000	Austria, through the purchase of a company that deals with assembly, which is a large company in Austria, which is known and recognized on the Austrian market, has been on the Austrian market for over 100 years.
673000	690000	And in Germany, we are trying to develop a company in its own range, according to our own plans and projects, which we consider to be the right ones for the German market.
690000	702000	Now we would like to bring you closer, from our point of view, to the most important events that have had an impact on the activities of our companies in the last 12 months.
702000	720000	In the last few years, we have been operating as a foreign company, but now we have decided to create a company, a company, a capital company in Germany.
720000	737000	For this reason, in order to sell more technologically complex devices such as heat pumps to customers in Germany, the trust of the client must be built and there must be a service in place.
737000	760000	German customers, rather technological things, want to buy a company that is registered and located in Germany. At the moment, we are already working quite intensively on the creation of an assembly team in Germany, on the production of individual, final customers for heat pumps.
760000	772000	In the last year, since the establishment of such an information company, we have already managed to make 2 million euros of income, so at the beginning we are satisfied.
